round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
50,0.2789413177391939,0.809857938373298,0.9122807017543859,0.32809153468764607,0.8232345278538651,0.8844221123498888,relu,12,0.1,50,30,5,glorot_uniform,sigmoid,binary_crossentropy,1.5,dense,<class 'keras.optimizers.Adadelta'>,triangle
50,0.10785627447896534,0.0,0.660818716587379,0.11326515232797843,0.07805694781955164,0.620603011481127,relu,28,0.8,50,30,1,random_uniform,sigmoid,logcosh,1,dense,<class 'keras.optimizers.Nadam'>,funnel
100,0.22821221376458803,0.8001873001717684,0.9064327541150545,0.13613070243379877,0.908884731369402,0.9396984978536864,relu,12,0.0,100,30,5,random_uniform,sigmoid,binary_crossentropy,1.5,dense,<class 'keras.optimizers.Adadelta'>,funnel
50,0.11092615323631387,0.0,0.6608187137988576,0.11432603398459641,0.0,0.6130653209422701,relu,12,0.8,50,10,5,random_uniform,sigmoid,logcosh,1,dense,<class 'keras.optimizers.SGD'>,triangle
50,0.10864509132347609,0.0,0.660818716587379,0.11241402492002027,0.08375663501233911,0.6256281395054343,relu,28,0.5,50,10,3,random_normal,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.Adam'>,triangle
50,0.6451729881136041,0.0,0.6608187211187262,0.6556750098664557,0.2775826958106391,0.6582914638758903,elu,36,0.8,50,20,2,random_uniform,sigmoid,binary_crossentropy,1.5,dense,<class 'keras.optimizers.Adadelta'>,brick
50,0.2212282630958055,0.8156071430758426,0.9005848012472454,0.2274226304424468,0.878358232915102,0.9145728559350249,elu,36,0.1,50,20,3,random_uniform,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.Nadam'>,brick
200,0.6530666082923176,0.0,0.6608187183302049,0.6691850118301622,0.0,0.6130653275317283,relu,44,0.0,200,30,4,glorot_uniform,sigmoid,binary_crossentropy,0.5,dense,<class 'keras.optimizers.Adadelta'>,funnel
200,0.5276146138969221,0.8113213432462592,0.8947368326940035,4.901701208885848,0.5413671171844904,0.6180904534593898,relu,36,0.5,200,10,0,random_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Adadelta'>,brick
200,0.6465489362415514,0.0,0.6608187211187262,0.6674762616804497,0.0,0.6130653320245407,elu,36,0.0,200,10,3,glorot_normal,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.SGD'>,funnel
200,5.466956289190995,0.0,0.6608187211187262,5.91208586191943,0.0,0.6130653200437076,elu,36,0.8,200,40,0,glorot_uniform,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.Nadam'>,triangle
200,0.02153638442018347,0.9099457692681697,0.9415204734133001,0.01681227317189882,0.9302290339565756,0.9522613125230799,elu,12,0.0,200,10,1,glorot_normal,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.Nadam'>,brick
100,0.029923809202093827,0.8473456125510367,0.918128672399019,0.02345540094652667,0.914711753028122,0.9346733680322542,elu,36,0.0,100,20,2,random_uniform,sigmoid,logcosh,1.5,dense,<class 'keras.optimizers.Adam'>,funnel
150,0.19184631658227821,0.8656062013224551,0.9239766088842648,0.15977794119161576,0.9105421628185253,0.9371859368367411,relu,44,0.0,150,40,2,random_normal,sigmoid,binary_crossentropy,0.5,dense,<class 'keras.optimizers.Nadam'>,brick
200,0.6458206218585634,0.0,0.6608187137988576,0.6673590597794883,0.0,0.6130653279810095,elu,12,0.8,200,40,1,random_normal,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Nadam'>,funnel
100,0.31082134249440413,0.8311306171947055,0.9064327443552296,0.3932096670620405,0.7690083728962808,0.8467336659455419,relu,28,0.1,100,30,2,glorot_uniform,sigmoid,binary_crossentropy,0.5,dense,<class 'keras.optimizers.Nadam'>,triangle
50,0.1986827832532295,0.8403786912299039,0.9298245655862909,0.2002872115927725,0.8890947948149102,0.9246231221673477,relu,12,0.1,50,20,4,random_uniform,sigmoid,binary_crossentropy,1.5,dense,<class 'keras.optimizers.Adam'>,funnel
50,0.6228763771335981,0.09716598611128957,0.6842105182987904,0.48376900556698516,0.6697167936880984,0.798994976371976,relu,28,0.5,50,30,2,random_uniform,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.SGD'>,brick
200,0.2771998230825391,0.8251782896225912,0.8888888986487138,0.2624541546157257,0.7936443866197788,0.8693467336683417,relu,12,0.1,200,30,4,random_normal,sigmoid,binary_crossentropy,1.5,dense,<class 'keras.optimizers.SGD'>,funnel
150,0.04370194173565036,0.7747106018819307,0.8830409332325584,0.04019254979551138,0.8269677949910188,0.8844221039633056,elu,36,0.1,150,40,1,random_uniform,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.Adam'>,funnel
50,0.1471263384174185,0.0,0.6608187078732496,0.16675664477012864,0.020100499816875363,0.615577891543882,relu,20,0.0,50,30,2,glorot_uniform,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.Nadam'>,triangle
150,5.466956289190995,0.0,0.6608187211187262,3.806357048815477,0.4617074503371464,0.7010050281208364,relu,36,0.8,150,30,0,glorot_uniform,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.Adadelta'>,brick
50,0.21517713468151484,0.7815041444454974,0.9122806947830825,0.2392795530695412,0.884700974327835,0.9221105440777151,relu,20,0.1,50,10,3,random_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Adam'>,brick
200,0.02617415228085211,0.8947885642971909,0.9356725194997955,0.03462180291213582,0.8682914765635926,0.9045226184567016,relu,44,0.5,200,40,4,random_uniform,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.Adadelta'>,triangle
