round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
200,0.06211026819396358,0.6223552412331387,0.8056872035654801,0.06952657917501577,0.5725695777113774,0.7842340515377753,relu,128,0.7,200,256,2,random_normal,sigmoid,logcosh,4,dense,<class 'keras.optimizers.SGD'>,brick
150,0.496156817985372,0.5367656034315932,0.8061611372147691,0.3439309469740936,0.6712699425700039,0.8380739539680031,relu,64,0.3,150,64,1,glorot_normal,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.Adadelta'>,triangle
150,1.5916308558947667,0.5151329162561498,0.7573459713379919,0.11857611092306258,0.892900513226983,0.9392523362548406,elu,64,0.0,150,128,2,random_normal,sigmoid,binary_crossentropy,4,dense,<class 'keras.optimizers.Nadam'>,funnel
100,0.4181754167611,0.5827297315495839,0.8199052134961313,0.42475549025973475,0.5411060791536833,0.799268589882965,elu,128,0.7,100,64,4,random_normal,sigmoid,binary_crossentropy,2,dense,<class 'keras.optimizers.Adam'>,triangle
100,0.41469982486765533,0.5965198586902347,0.8161137438498403,0.38681125812828904,0.6138178362007405,0.8136936203341618,relu,64,0.3,100,256,0,glorot_normal,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.Nadam'>,triangle
150,0.09139991345422528,0.0,0.7511848344057093,0.09676611995985236,0.01152360957601796,0.7267370986434707,elu,128,0.6,150,64,2,random_normal,sigmoid,logcosh,0.09,dense,<class 'keras.optimizers.SGD'>,triangle
100,0.7218470266080016,0.542753606328467,0.7786729860079797,0.29323567095833647,0.7242715346624289,0.8520926455567882,relu,64,0.3,100,256,2,glorot_uniform,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.Nadam'>,triangle
100,0.42959523596469823,0.5902641677743451,0.802369668924413,0.3811946898783576,0.6218942960361696,0.8140999592207933,relu,64,0.0,100,128,4,random_uniform,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.SGD'>,triangle
100,0.6159432266560776,0.0,0.7511848344057093,0.6277907946060364,0.0,0.7269402683289833,relu,256,0.7,100,256,5,glorot_normal,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.Adadelta'>,funnel
200,0.07175358564932764,0.5313001185231864,0.7895734603371101,0.04956209510776726,0.7280542408969527,0.8616416091988698,relu,128,0.3,200,128,5,glorot_normal,sigmoid,logcosh,5,dense,<class 'keras.optimizers.Adam'>,triangle
100,0.41076983436588993,0.5961040190045868,0.8227488144879093,0.4367856918578708,0.5317375596850348,0.7860625758736853,relu,128,0.7,100,64,0,random_uniform,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.SGD'>,funnel
150,0.061042694641515544,0.5898919065416707,0.8170616116003968,0.05934136886450877,0.6227501190469208,0.8169443316209709,elu,64,0.0,150,64,0,random_uniform,sigmoid,logcosh,0.09,dense,<class 'keras.optimizers.Nadam'>,brick
200,0.451742764982567,0.0,0.7511848343492119,0.46346627399234547,0.0,0.7269402681110061,relu,32,0.7,200,64,2,glorot_normal,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.Adam'>,triangle
100,0.4143726525713482,0.5926558586093487,0.8194312793383666,0.4061005123985923,0.5720996877518382,0.8053636733519746,elu,32,0.7,100,256,0,random_normal,sigmoid,binary_crossentropy,4,dense,<class 'keras.optimizers.SGD'>,funnel
150,0.060596035265527065,0.6003824618190385,0.8203791466934421,0.06755580782000246,0.5723143511795019,0.7905323040141462,relu,128,0.8,150,128,0,glorot_normal,sigmoid,logcosh,5,dense,<class 'keras.optimizers.SGD'>,brick
100,0.062205561501154964,0.5623153665054466,0.816587677442632,0.06459475554486495,0.5848583192032849,0.8000812678257656,relu,32,0.7,100,64,1,glorot_uniform,sigmoid,logcosh,2,dense,<class 'keras.optimizers.Adam'>,brick
200,0.07948898945656997,0.0,0.7511848344057093,0.08850682801720283,0.18858745875202607,0.738114587420712,elu,64,0.8,200,256,1,random_uniform,sigmoid,logcosh,4,dense,<class 'keras.optimizers.Adam'>,funnel
100,0.09947990471435385,0.0,0.7511848344057093,0.07945599422397676,0.0,0.7269402685227407,relu,256,0.8,100,256,5,random_normal,sigmoid,logcosh,0.09,dense,<class 'keras.optimizers.Adadelta'>,triangle
200,0.06825243734635449,0.5576468990877341,0.7933649286839635,0.05731512350929021,0.6782507021123924,0.8177570092489157,relu,32,0.7,200,256,0,glorot_normal,sigmoid,logcosh,3,dense,<class 'keras.optimizers.Nadam'>,triangle
200,0.4380432573539951,0.5830884466804034,0.8137440755468974,0.37911931496478346,0.5990784158797731,0.8118650958287139,elu,256,0.6,200,64,1,glorot_uniform,sigmoid,binary_crossentropy,2,dense,<class 'keras.optimizers.Adam'>,brick
